
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2024-07-10 22:28:13 ................................................... ~ 0s
  2024-07-10 22:28:27 ................................................... ~ 0s
  2024-07-10 22:28:29 ................................................... ~ 0s
  2024-07-10 22:28:30 ................................................... ~ 0s
  2024-07-10 22:28:39 ................................................... ~ 0s
  2024-07-10 22:28:42 ................................................... ~ 0s
  2024-07-10 22:28:53 ................................................... ~ 0s
  2024-07-10 22:29:29 ................................................... ~ 0s
  2024-07-10 22:30:25 ................................................... ~ 0s
  2024-07-10 22:31:09 ................................................... ~ 0s
  2024-07-10 22:33:02 ................................................... ~ 0s
  2024-07-10 22:34:00 ................................................... ~ 0s
  2024-07-10 22:34:12 ................................................... ~ 0s
  2024-07-10 22:36:03 ................................................... ~ 0s
  2024-07-10 22:36:07 ................................................... ~ 0s
  2024-07-10 22:36:14 ................................................... ~ 0s
  2024-07-10 22:36:27 ................................................... ~ 0s
  2024-07-10 22:36:35 ................................................... ~ 0s
  2024-07-10 22:36:42 ................................................... ~ 0s
  2024-07-10 22:36:44 ................................................... ~ 0s
  2024-07-10 22:36:45 ................................................... ~ 0s
  2024-07-10 22:36:48 ................................................... ~ 0s
  2024-07-10 22:37:43 ................................................... ~ 0s
  2024-07-10 22:37:49 ................................................... ~ 0s
  2024-07-10 22:47:19 ................................................... ~ 0s
  2024-07-10 22:47:21 ................................................... ~ 0s
  2024-07-10 22:53:43 ................................................... ~ 0s
  2024-07-10 22:53:45 ................................................... ~ 0s
  2024-07-10 22:53:47 ................................................... ~ 0s
  2024-07-10 22:53:55 ................................................... ~ 0s
  2024-07-10 22:53:55 ................................................... ~ 0s
  2024-07-10 22:53:58 ................................................... ~ 0s
  2024-07-10 22:54:02 ................................................... ~ 0s
  2024-07-10 22:54:44 ................................................... ~ 0s
  2024-07-10 22:54:45 ................................................... ~ 0s
  2024-07-10 22:54:48 ................................................... ~ 0s
  2024-07-10 22:59:39 ................................................... ~ 0s
  2024-07-10 23:09:07 ................................................... ~ 0s
  2024-07-10 23:09:20 ................................................... ~ 0s
  2024-07-10 23:09:40 ................................................... ~ 0s
  2024-07-10 23:09:43 ................................................... ~ 0s
  2024-07-10 23:10:13 ................................................... ~ 0s
  2024-07-10 23:11:14 ................................................... ~ 0s
  2024-07-10 23:12:08 ................................................... ~ 0s
  2024-07-10 23:12:13 ................................................... ~ 0s
  2024-07-10 23:12:24 ................................................... ~ 0s
  2024-07-10 23:12:25 ................................................... ~ 0s
  2024-07-10 23:12:29 ................................................... ~ 0s
  2024-07-10 23:12:34 ................................................... ~ 0s
  2024-07-10 23:34:25 ................................................... ~ 0s
  2024-07-10 23:34:34 ................................................... ~ 0s
  2024-07-10 23:34:34 ................................................... ~ 0s
  2024-07-10 23:34:36 ................................................... ~ 0s
  2024-07-10 23:34:39 ................................................... ~ 0s
  2024-07-10 23:34:50 ................................................... ~ 0s
  2024-07-10 23:34:50 ................................................... ~ 0s
  2024-07-10 23:34:53 ................................................... ~ 0s
  2024-07-10 23:34:55 ................................................... ~ 0s
